Trend,TrendPulse_Score,Consumer_Verdict,Buy_Timing,Trend_Risk,Stage,Confidence,Signal_Agreement,Web_Growth,Image_Growth,Media_Score,Consumer_Explanation,Web_Recent_4W,Web_Previous_4W,Web_Data_Status,Image_Recent_4W,Image_Previous_4W,Image_Data_Status,Media_Current_7D,Media_Previous_7D,Media_30D,Media_Data_Status,Evidence_Score,Evidence_Level,Evidence_Caution,Web_Base,Image_Base,Ranking_Status
ballet flats,45.49,PEAKING,Avoid Trend Premium,High,Established,Low,Mixed,11.97,-44.44,60.87,consumer search is rising; visual discovery is weakening; media attention remains strong.,65.5,58.5,Valid,45.0,81.0,Valid,28,18,64,Valid,93,High,"search, visual and media signals disagree",62.0,63.0,Eligible
kitten heels,37.55,WATCH,Wait and Watch,Medium,Established,Medium,Mixed,3.33,-29.7,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.,31.0,30.0,Valid,17.75,25.25,Valid,3,3,20,Valid,93,High,"search, visual and media signals disagree",30.5,21.5,Eligible
lace top,31.62,WATCH,Wait and Watch,Medium,Established,Medium,Mixed,2.11,-34.18,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.,24.25,23.75,Valid,45.25,68.75,Valid,1,1,9,Valid,88,High,"search, visual and media signals disagree",24.0,57.0,Eligible
capri pants,23.95,COOLING,Buy Only If You Love It,High,Cooling,High,Mixed,-18.92,-39.53,60.0,consumer search is declining; visual discovery is weakening; media attention remains strong.,15.0,18.5,Valid,13.0,21.5,Valid,6,4,28,Valid,88,High,"search, visual and media signals disagree",16.75,17.25,Eligible
mary jane shoes,61.13,PEAKING,Avoid Trend Premium,High,Accelerating,Low,Mixed,16.9,-35.14,100.0,consumer search is rising; visual discovery is weakening; media attention remains strong.,20.75,17.75,Valid,18.0,27.75,Valid,3,0,9,Valid,83,High,"search, visual and media signals disagree",19.25,22.88,Eligible
polka dot dress,42.53,WATCH,Wait and Watch,Medium,Established,High,Mixed,-6.25,-30.19,100.0,consumer search is relatively stable; visual discovery is weakening; media attention remains strong.,11.25,12.0,Valid,18.5,26.5,Valid,2,0,15,Valid,83,High,"search, visual and media signals disagree",11.62,22.5,Eligible
suede bag,38.16,EARLY,Early Buy,Medium,Rebounding,Medium,Mixed,44.44,-51.79,40.0,consumer search is rising; visual discovery is weakening; media attention is weakening.,16.25,11.25,Valid,20.25,42.0,Valid,2,3,9,Valid,83,High,"search, visual and media signals disagree",13.75,31.12,Eligible
pendant necklace,29.46,WATCH,Wait and Watch,Medium,Established,High,Mixed,-7.69,-52.17,66.67,consumer search is relatively stable; visual discovery is weakening; media attention remains strong.,9.0,9.75,Valid,19.25,40.25,Valid,2,1,8,Valid,83,High,"search, visual and media signals disagree",9.38,29.75,Eligible
bermuda shorts,14.01,COOLING,Buy Only If You Love It,High,Cooling,High,Strong,-22.86,-49.41,33.33,consumer search is declining; visual discovery is weakening; media attention is weakening.,6.75,8.75,Valid,10.75,21.25,Valid,1,2,11,Valid,83,High,Signals have relatively strong supporting evidence.,7.75,16.0,Eligible
silver jewelry,38.85,COOLING,Buy Only If You Love It,High,Cooling,High,Mixed,-8.89,-60.36,100.0,consumer search is relatively stable; visual discovery is weakening; media attention remains strong.,10.25,11.25,Valid,16.75,42.25,Valid,3,0,5,Valid,78,High,"search, visual and media signals disagree",10.75,29.5,Eligible
clutch bag,31.87,WATCH,Wait and Watch,Medium,Established,High,Mixed,-2.38,-70.52,66.67,consumer search is relatively stable; visual discovery is weakening; media attention remains strong.,10.25,10.5,Valid,18.5,62.75,Valid,2,1,5,Valid,78,High,"search, visual and media signals disagree",10.38,40.62,Eligible
peplum top,3.67,COOLING,Buy Only If You Love It,High,Cooling,High,Strong,-23.53,-60.0,0.0,consumer search is declining; visual discovery is weakening; media attention is weakening.,3.25,4.25,Valid,8.0,20.0,Valid,0,1,1,Valid,73,Medium,media evidence is limited; large percentage change may be amplified by low search volume,3.75,14.0,Eligible
slingback heels,31.62,WATCH,Wait and Watch,Medium,Rebounding,Medium,Mixed,5.26,-67.65,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.,5.0,4.75,Valid,5.5,17.0,Valid,1,1,3,Valid,71,Medium,"search, visual and media signals disagree",4.88,11.25,Eligible
bowling bag,28.77,WATCH,Wait and Watch,Medium,Established,Medium,Mixed,0.0,-59.68,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.,3.5,3.5,Valid,6.25,15.5,Valid,1,1,4,Valid,71,Medium,"search, visual and media signals disagree",3.5,10.88,Eligible
east west bag,31.64,WATCH,Wait and Watch,Medium,Established,Medium,Mixed,0.0,-89.19,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.,1.75,1.75,Valid,1.0,9.25,Valid,1,1,5,Valid,62,Medium,"search growth is based on a very small base; search, visual and media signals disagree",1.75,5.12,Eligible
