Trend_ID,Trend,Category,Search_Term,Status,Discovery_Source,Added_Time
T001,ballet flats,Footwear,ballet flats,Active,Manual Seed,2026-08-24
T002,kitten heels,Footwear,kitten heels,Active,Manual Seed,2026-08-24
T003,mary jane shoes,Footwear,mary jane shoes,Watch,Manual Seed,2026-08-24
T004,slingback heels,Footwear,slingback heels,Watch,Manual Seed,2026-08-24
T005,capri pants,Apparel,capri pants,Active,Manual Seed,2026-08-24
T006,peplum top,Apparel,peplum top,Watch,Manual Seed,2026-08-24
T007,bermuda shorts,Apparel,bermuda shorts,Watch,Manual Seed,2026-08-24
T008,bubble skirt,Apparel,bubble skirt,Watch,Manual Seed,2026-08-24
T009,lace top,Apparel,lace top,Watch,Manual Seed,2026-08-24
T010,polka dot dress,Apparel,polka dot dress,Watch,Manual Seed,2026-08-24
T011,east west bag,Bags,east west bag,Watch,Manual Seed,2026-08-24
T012,clutch bag,Bags,clutch bag,Watch,Manual Seed,2026-08-24
T013,suede bag,Bags,suede bag,Watch,Manual Seed,2026-08-24
T014,bowling bag,Bags,bowling bag,Watch,Manual Seed,2026-08-24
T015,statement jewelry,Jewelry,statement jewelry,Watch,Manual Seed,2026-08-24
T016,pendant necklace,Jewelry,pendant necklace,Watch,Manual Seed,2026-08-24
T017,charm necklace,Jewelry,charm necklace,Watch,Manual Seed,2026-08-24
T018,silver jewelry,Jewelry,silver jewelry,Watch,Manual Seed,2026-08-24
T019,butter yellow,Color,butter yellow fashion,Watch,Manual Seed,2026-08-24
T020,metallic accessories,Accessories,metallic accessories,Watch,Manual Seed,2026-08-24
