Trend,Current_Interest,Web_Growth,Image_Growth,Web_12W_Slope,Image_12W_Slope,Visual_Momentum_Gap,Stage,Confidence
suede bag,16.25,44.44,-51.79,-7.03,-4.64,-96.23,Rebounding,Medium
bubble skirt,2.5,25.0,-58.62,-3.65,-6.7,-83.62,Rebounding,Medium
mary jane shoes,20.75,16.9,-35.14,0.67,-3.69,-52.04,Accelerating,Low
ballet flats,65.5,11.97,-44.44,0.16,-4.4,-56.41,Established,Low
slingback heels,5.0,5.26,-67.65,-4.2,-8.62,-72.91,Rebounding,Medium
kitten heels,31.0,3.33,-29.7,-0.65,-4.04,-33.03,Established,Medium
lace top,24.25,2.11,-34.18,-8.86,-2.94,-36.29,Established,Medium
east west bag,1.75,0.0,-89.19,-10.63,-0.97,-89.19,Established,Medium
bowling bag,3.5,0.0,-59.68,-8.0,-4.39,-59.68,Established,Medium
clutch bag,10.25,-2.38,-70.52,-8.91,-11.91,-68.14,Established,High
polka dot dress,11.25,-6.25,-30.19,-4.89,-4.2,-23.94,Established,High
pendant necklace,9.0,-7.69,-52.17,-13.65,-8.35,-44.48,Established,High
silver jewelry,10.25,-8.89,-60.36,-7.28,-8.65,-51.47,Cooling,High
charm necklace,3.75,-11.76,-41.94,-9.34,-6.04,-30.18,Cooling,High
capri pants,15.0,-18.92,-39.53,-6.31,-5.49,-20.61,Cooling,High
bermuda shorts,6.75,-22.86,-49.41,-11.34,-8.37,-26.55,Cooling,High
peplum top,3.25,-23.53,-60.0,-11.5,-7.56,-36.47,Cooling,High
statement jewelry,1.0,-42.86,16.67,-15.03,-11.88,59.53,Low Signal,Medium
butter yellow,0.0,,-75.0,,-16.04,,Low Signal,Low
metallic accessories,0.0,,,-37.76,,,Low Signal,Low
