Trend,Web_Recent_4W,Web_Previous_4W,Web_Growth,Web_Data_Status,Image_Recent_4W,Image_Previous_4W,Image_Growth,Image_Data_Status,Visual_Momentum_Gap,Web_Growth_Rank,Image_Growth_Rank
suede bag,16.25,11.25,44.44,Valid,20.25,42.0,-51.79,Valid,-96.23,1,10
bubble skirt,2.5,2.0,25.0,Valid,3.0,7.25,-58.62,Valid,-83.62,2,12
mary jane shoes,20.75,17.75,16.9,Valid,18.0,27.75,-35.14,Valid,-52.04,3,5
ballet flats,65.5,58.5,11.97,Valid,45.0,81.0,-44.44,Valid,-56.41,4,8
slingback heels,5.0,4.75,5.26,Valid,5.5,17.0,-67.65,Valid,-72.91,5,16
kitten heels,31.0,30.0,3.33,Valid,17.75,25.25,-29.7,Valid,-33.03,6,2
lace top,24.25,23.75,2.11,Valid,45.25,68.75,-34.18,Valid,-36.29,7,4
east west bag,1.75,1.75,0.0,Valid,1.0,9.25,-89.19,Valid,-89.19,8,19
bowling bag,3.5,3.5,0.0,Valid,6.25,15.5,-59.68,Valid,-59.68,8,13
clutch bag,10.25,10.5,-2.38,Valid,18.5,62.75,-70.52,Valid,-68.14,10,17
polka dot dress,11.25,12.0,-6.25,Valid,18.5,26.5,-30.19,Valid,-23.94,11,3
pendant necklace,9.0,9.75,-7.69,Valid,19.25,40.25,-52.17,Valid,-44.48,12,11
silver jewelry,10.25,11.25,-8.89,Valid,16.75,42.25,-60.36,Valid,-51.47,13,15
charm necklace,3.75,4.25,-11.76,Valid,4.5,7.75,-41.94,Valid,-30.18,14,7
capri pants,15.0,18.5,-18.92,Valid,13.0,21.5,-39.53,Valid,-20.61,15,6
bermuda shorts,6.75,8.75,-22.86,Valid,10.75,21.25,-49.41,Valid,-26.55,16,9
peplum top,3.25,4.25,-23.53,Valid,8.0,20.0,-60.0,Valid,-36.47,17,14
statement jewelry,1.0,1.75,-42.86,Valid,3.5,3.0,16.67,Valid,59.53,18,1
butter yellow,0.0,0.0,,Low Signal,0.5,2.0,-75.0,Valid,,,18
metallic accessories,0.0,0.0,,Low Signal,0.0,0.0,,Low Signal,,,
