Trend,Media_Current_7D,Media_Previous_7D,Media_30D,Media_Momentum_Index,Media_Data_Status,Media_Rank
mary jane shoes,3,0,9,100.0,Valid,1
silver jewelry,3,0,5,100.0,Valid,1
polka dot dress,2,0,15,100.0,Valid,1
clutch bag,2,1,5,66.67,Valid,4
pendant necklace,2,1,8,66.67,Valid,4
ballet flats,28,18,64,60.87,Valid,6
capri pants,6,4,28,60.0,Valid,7
butter yellow,1,1,8,50.0,Valid,8
charm necklace,0,0,0,50.0,Low Signal,8
bowling bag,1,1,4,50.0,Valid,8
east west bag,1,1,5,50.0,Valid,8
kitten heels,3,3,20,50.0,Valid,8
lace top,1,1,9,50.0,Valid,8
bubble skirt,0,0,1,50.0,Low Signal,8
slingback heels,1,1,3,50.0,Valid,8
metallic accessories,0,0,0,50.0,Low Signal,8
suede bag,2,3,9,40.0,Valid,17
bermuda shorts,1,2,11,33.33,Valid,18
statement jewelry,0,1,1,0.0,Valid,19
peplum top,0,1,1,0.0,Valid,19
