Trend,Alias,Alias_Type
high vamp flats,high vamp flats,canonical
high vamp flats,high vamp ballet flats,alternate
high vamp flats,closed vamp flats,alternate
high vamp flats,ballet flats,broad
satin shoes,satin shoes,canonical
satin shoes,satin heels,alternate
satin shoes,satin flats,alternate
car coat,car coat,canonical
car coat,car coat fashion,alternate
royal purple,royal purple fashion,canonical
royal purple,purple fashion,alternate
powder pink,powder pink fashion,canonical
powder pink,light pink fashion,alternate
scarf print top,scarf print top,canonical
scarf print top,scarf top,alternate
romantic ruffles,ruffle fashion,canonical
romantic ruffles,ruffled top,alternate
sheer dressing,sheer dress,canonical
sheer dressing,sheer fashion,alternate
organza layers,organza dress,canonical
organza layers,organza fashion,alternate
organza layers,sheer dress,broad
bubble hem skirt,bubble hem skirt,canonical
bubble hem skirt,bubble skirt,alternate
barrel jeans,barrel jeans,canonical
capri pants,capri pants,canonical
lace details,lace fashion,canonical
lace details,lace top,alternate
charm jewelry,charm jewelry,canonical
charm jewelry,charm necklace,alternate
chunky necklace,chunky necklace,canonical
silver jewelry,silver jewelry,canonical
east west bag,east west bag,canonical
doctor bag,doctor bag fashion,canonical
doctor bag,doctor bag,alternate
suede bag,suede bag,canonical
bowling bag,bowling bag,canonical
metallic accessories,metallic accessories,canonical
butter yellow,butter yellow fashion,canonical
polka dot dress,polka dot dress,canonical
mary jane shoes,mary jane shoes,canonical
kitten heels,kitten heels,canonical
slingback heels,slingback heels,canonical
ballet flats,ballet flats,canonical
statement jewelry,statement jewelry,canonical
pendant necklace,pendant necklace,canonical
maxi skirt,maxi skirt,canonical
mini bag,mini bag,canonical
oversized blazer,oversized blazer,canonical
cropped jacket,cropped jacket,canonical
boho chic,boho fashion,canonical
quiet luxury,quiet luxury,canonical
romantic fashion,romantic fashion,canonical
coquette aesthetic,coquette,canonical
coquette aesthetic,coquette aesthetic,alternate
dark feminine,dark feminine fashion,canonical
balletcore,balletcore,canonical
mob wife aesthetic,mob wife aesthetic,canonical
mob wife aesthetic,mob wife fashion,alternate
