Trend,TrendPulse_Score,Consumer_Verdict,Buy_Timing,Trend_Risk,Stage,Confidence,Signal_Agreement,Web_Growth,Image_Growth,Media_Score,Consumer_Explanation
mary jane shoes,61.13,PEAKING,Avoid Trend Premium,High,Accelerating,Low,Mixed,16.9,-35.14,100.0,consumer search is rising; visual discovery is weakening; media attention remains strong.
ballet flats,45.49,PEAKING,Avoid Trend Premium,High,Established,Low,Mixed,11.97,-44.44,60.87,consumer search is rising; visual discovery is weakening; media attention remains strong.
polka dot dress,42.53,WATCH,Wait and Watch,Medium,Established,High,Mixed,-6.25,-30.19,100.0,consumer search is relatively stable; visual discovery is weakening; media attention remains strong.
bubble skirt,39.33,EARLY,Early Buy,Medium,Rebounding,Medium,Mixed,25.0,-58.62,50.0,consumer search is rising; visual discovery is weakening; media attention is mixed.
silver jewelry,38.85,COOLING,Buy Only If You Love It,High,Cooling,High,Mixed,-8.89,-60.36,100.0,consumer search is relatively stable; visual discovery is weakening; media attention remains strong.
suede bag,38.16,EARLY,Early Buy,Medium,Rebounding,Medium,Mixed,44.44,-51.79,40.0,consumer search is rising; visual discovery is weakening; media attention is weakening.
kitten heels,37.55,WATCH,Wait and Watch,Medium,Established,Medium,Mixed,3.33,-29.7,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.
clutch bag,31.87,WATCH,Wait and Watch,Medium,Established,High,Mixed,-2.38,-70.52,66.67,consumer search is relatively stable; visual discovery is weakening; media attention remains strong.
east west bag,31.64,WATCH,Wait and Watch,Medium,Established,Medium,Mixed,0.0,-89.19,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.
lace top,31.62,WATCH,Wait and Watch,Medium,Established,Medium,Mixed,2.11,-34.18,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.
slingback heels,31.62,WATCH,Wait and Watch,Medium,Rebounding,Medium,Mixed,5.26,-67.65,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.
pendant necklace,29.46,WATCH,Wait and Watch,Medium,Established,High,Mixed,-7.69,-52.17,66.67,consumer search is relatively stable; visual discovery is weakening; media attention remains strong.
bowling bag,28.77,WATCH,Wait and Watch,Medium,Established,Medium,Mixed,0.0,-59.68,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.
capri pants,23.95,COOLING,Buy Only If You Love It,High,Cooling,High,Mixed,-18.92,-39.53,60.0,consumer search is declining; visual discovery is weakening; media attention remains strong.
charm necklace,23.17,COOLING,Buy Only If You Love It,High,Cooling,High,Mixed,-11.76,-41.94,50.0,consumer search is declining; visual discovery is weakening; media attention is mixed.
statement jewelry,16.25,WATCH,Wait and Watch,Medium,Low Signal,Medium,Mixed,-42.86,16.67,0.0,consumer search is declining; visual discovery is gaining momentum; media attention is weakening.
bermuda shorts,14.01,COOLING,Buy Only If You Love It,High,Cooling,High,Strong,-22.86,-49.41,33.33,consumer search is declining; visual discovery is weakening; media attention is weakening.
peplum top,3.67,COOLING,Buy Only If You Love It,High,Cooling,High,Strong,-23.53,-60.0,0.0,consumer search is declining; visual discovery is weakening; media attention is weakening.
butter yellow,,WATCH,Wait and Watch,Medium,Low Signal,Low,Mixed,,-75.0,50.0,consumer search is relatively stable; visual discovery is weakening; media attention is mixed.
metallic accessories,,WATCH,Wait and Watch,Medium,Low Signal,Low,Low Data,,,50.0,consumer search is relatively stable; visual interest is relatively stable; media attention is mixed.
