Trend,Current_Interest,Web_Growth,Image_Growth,Web_12W_Slope,Image_12W_Slope,Search_Score,Visual_Score,Media_Score,TrendPulse_Score,Fast_Rising_Score,Overall_Rank,Fast_Rising_Rank,Search_Growth_Rank,Stage,Confidence,Signal_Agreement,TrendPulse_Label
mary jane shoes,20.75,16.9,-35.14,0.67,-3.69,72.99,6.44,100.0,61.13,61.43,1,1,3,Accelerating,Low,Mixed,Promising
ballet flats,65.5,11.97,-44.44,0.16,-4.4,65.4,3.57,60.87,45.49,49.14,2,4,4,Established,Low,Mixed,Mixed
polka dot dress,11.25,-6.25,-30.19,-4.89,-4.2,25.83,7.34,100.0,42.53,41.34,3,5,11,Established,High,Mixed,Weak
bubble skirt,2.5,25.0,-58.62,-3.65,-6.7,60.08,0.99,50.0,39.33,54.31,4,3,2,Rebounding,Medium,Mixed,Weak
silver jewelry,10.25,-8.89,-60.36,-7.28,-8.65,21.67,0.62,100.0,38.85,36.7,5,9,13,Cooling,High,Mixed,Weak
suede bag,16.25,44.44,-51.79,-7.03,-4.64,63.51,2.53,40.0,38.16,57.08,6,2,1,Rebounding,Medium,Mixed,Weak
kitten heels,31.0,3.33,-29.7,-0.65,-4.04,50.57,7.74,50.0,37.55,40.86,7,6,6,Established,Medium,Mixed,Weak
clutch bag,10.25,-2.38,-70.52,-8.91,-11.91,29.5,0.24,66.67,31.87,36.06,8,10,10,Established,High,Mixed,Weak
east west bag,1.75,0.0,-89.19,-10.63,-0.97,32.53,12.08,50.0,31.64,35.02,9,12,8,Established,Medium,Mixed,Weak
slingback heels,5.0,5.26,-67.65,-4.2,-8.62,41.25,0.4,50.0,31.62,40.32,10,7,5,Rebounding,Medium,Mixed,Weak
lace top,24.25,2.11,-34.18,-8.86,-2.94,35.33,8.29,50.0,31.62,38.94,10,8,7,Established,Medium,Mixed,Weak
pendant necklace,9.0,-7.69,-52.17,-13.65,-8.35,22.81,1.12,66.67,29.46,31.34,12,13,12,Established,High,Mixed,Weak
bowling bag,3.5,0.0,-59.68,-8.0,-4.39,32.67,2.33,50.0,28.77,35.25,13,11,8,Established,Medium,Mixed,Weak
capri pants,15.0,-18.92,-39.53,-6.31,-5.49,12.24,3.52,60.0,23.95,22.24,14,16,15,Cooling,High,Mixed,Weak
charm necklace,3.75,-11.76,-41.94,-9.34,-6.04,18.32,2.8,50.0,23.17,25.05,15,15,14,Cooling,High,Mixed,Weak
statement jewelry,1.0,-42.86,16.67,-15.03,-11.88,2.04,51.46,0.0,16.25,25.31,16,14,18,Low Signal,Medium,Mixed,Weak
bermuda shorts,6.75,-22.86,-49.41,-11.34,-8.37,9.01,1.36,33.33,14.01,14.15,17,17,16,Cooling,High,Strong,Weak
peplum top,3.25,-23.53,-60.0,-11.5,-7.56,8.6,0.76,0.0,3.67,6.85,18,18,17,Cooling,High,Strong,Weak
butter yellow,0.0,,-75.0,,-16.04,,0.16,50.0,,,,,,Low Signal,Low,Mixed,Insufficient Data
metallic accessories,0.0,,,-37.76,,,,50.0,,,,,,Low Signal,Low,Low Data,Insufficient Data
